Year,Product,Origin,Destination / PADD,Mode of Transportation,Volume (m3),Volume (bbl),Value (CN$),Value (US$),Price (CN cents/L),Price (US cents/gallon)
1991,Propane,Manitoba,PADD IV,Truck,131,823.9638,13951.5,12342.85562,10.65,35.666141
1991,Propane,Manitoba,PADD V,Truck,36,226.4328,4993.2,4319.73383,13.87,45.421999
1991,Propane,Manitoba,Total,Railway,117948,741869.3304,10934863.9,9553185.533,9.270919,30.659806
1991,Propane,Manitoba,Total,Truck,37223.9,234130.8862,3594683.54,3146686.738,9.656923,31.999516
1991,Propane,New Brunswick,PADD I,Marine,5505.5,34628.4939,850116.4,741915.1239,15.44122,51.01163
1991,Propane,New Brunswick,Other,Marine,113,710.7474,34051.5,29733.86811,30.13407,99.605825
1991,Propane,New Brunswick,Total,Marine,5618.5,35339.2413,884167.9,771648.992,15.736725,51.988964
1991,Propane,Ontario,PADD I,Railway,270918.2,1704021.294,30484808.39,26610183.86,11.252403,37.181032
1991,Propane,Ontario,PADD I,Truck,64063.5,402946.6023,7127058.87,6221944.508,11.124991,36.76438
1991,Propane,Ontario,PADD II,Pipeline,757776,4766259.485,75523731.87,65900398.04,9.966498,32.919932
1991,Propane,Ontario,PADD II,Railway,53570.2,336945.844,5842260.06,5101273.406,10.905802,36.046831
1991,Propane,Ontario,PADD II,Truck,84000.6,528346.9739,9146944.93,7988666.469,10.889142,36.000097
1991,Propane,Ontario,PADD V,Railway,3541,22272.1818,474848.1,410802.1722,13.41,43.915572
1991,Propane,Ontario,Total,Pipeline,757776,4766259.485,75523731.87,65900398.04,9.966498,32.919932
1991,Propane,Ontario,Total,Railway,328029.4,2063239.32,36801916.55,32122259.44,11.21909,37.068507
1991,Propane,Ontario,Total,Truck,148064.1,931293.5762,16274003.8,14210610.98,10.991188,36.330782
1991,Propane,Québec,PADD I,Railway,776,4880.8848,90097.6,78034.28056,11.610515,38.065842
1991,Propane,Québec,PADD I,Truck,46863.7,294763.3003,5913364.11,5160597.731,12.618218,41.684556
1991,Propane,Québec,PADD II,Truck,618.8,3892.12824,52598,45947.43661,8.5,28.107534
1991,Propane,Québec,PADD III,Truck,1270.5,7991.1909,163139.8,143572.1927,12.840598,42.776716
1991,Propane,Québec,Total,Railway,776,4880.8848,90097.6,78034.28056,11.610515,38.065842
1991,Propane,Québec,Total,Truck,48753,306646.6194,6129101.91,5350117.361,12.571743,41.540692
1991,Propane,Saskatchewan,PADD II,Pipeline,1808456.4,11374829.06,161750575.2,141274761.4,8.944123,29.571155
1991,Propane,Saskatchewan,PADD II,Railway,10790,67866.942,1041098.6,904006.5938,9.648735,31.714797
1991,Propane,Saskatchewan,PADD II,Truck,13538.6,85155.08628,1191058.5,1040227.913,8.797501,29.084829
1991,Propane,Saskatchewan,PADD IV,Truck,4551.8,28629.91164,461138.78,401409.8951,10.13091,33.38233
1991,Propane,Saskatchewan,Total,Pipeline,1808456.4,11374829.06,161750575.2,141274761.4,8.944123,29.571155
1991,Propane,Saskatchewan,Total,Railway,10790,67866.942,1041098.6,904006.5938,9.648735,31.714797
1991,Propane,Saskatchewan,Total,Truck,18090.4,113784.9979,1652197.28,1441637.808,9.133005,30.16614
1992,Butane,Alberta,PADD I,Railway,3859,24272.3382,546274,446931.7201,14.155843,43.840769
1992,Butane,Alberta,PADD II,Railway,53749.7,338074.8631,5797831.5,4808820.021,10.786723,33.866804
1992,Butane,Alberta,PADD IV,Pipeline,98887,621979.4526,10327704,8659638.031,10.443945,33.149141
1992,Butane,Alberta,PADD IV,Railway,59724.1,375652.6442,6428743.7,5213683.061,10.764069,33.045077
1992,Butane,Alberta,PADD IV,Truck,4459,28046.2182,556262.8,440517.8641,12.475057,37.397091
1992,Butane,Alberta,PADD V,Railway,111873.9,703664.4562,11372457.75,9360520.389,10.165425,31.672544
1992,Butane,Alberta,PADD V,Truck,374,2352.3852,35366,29542.32911,9.456149,29.900943
1992,Butane,Alberta,Total,Pipeline,98887,621979.4526,10327704,8659638.031,10.443945,33.149141
1992,Butane,Alberta,Total,Railway,229206.7,1441664.302,24145306.95,19829955.19,10.534293,32.749615
1992,Butane,Alberta,Total,Truck,4833,30398.6034,591628.8,470060.1932,12.24144,36.817005
1992,Butane,British Columbia,PADD II,Railway,5569,35027.8962,257324,217826.3904,4.62065,14.806248
1992,Butane,British Columbia,PADD III,Railway,117,735.9066,14449.5,12219.14031,12.35,39.533616
1992,Butane,British Columbia,PADD IV,Railway,592,3723.5616,82880,69596.46979,14,44.501768
1992,Butane,British Columbia,PADD V,Railway,227146.1,1428703.54,22375437.68,18282193.08,9.85068,30.467356
1992,Butane,British Columbia,PADD V,Truck,7397.2,46526.90856,466294.1,381653.3293,6.303656,19.530503
1992,Butane,British Columbia,Total,Railway,233424.1,1468190.904,22730091.18,18581835.08,9.737679,30.133851
1992,Butane,British Columbia,Total,Truck,7397.2,46526.90856,466294.1,381653.3293,6.303656,19.530503
1992,Butane,Manitoba,PADD I,Railway,1212,7623.2376,114776.4,99246.56798,9.47,30.997354
1992,Butane,Manitoba,PADD II,Railway,153886,967912.1628,17507829.7,14404968.2,11.377142,35.434387
1992,Butane,Manitoba,Total,Railway,155098,975535.4004,17622606.1,14504214.77,11.362239,35.399717
1992,Butane,Nova Scotia,PADD I,Railway,3400,21385.32,324440,269371.9502,9.542352,29.990604
1992,Butane,Nova Scotia,Total,Railway,3400,21385.32,324440,269371.9502,9.542352,29.990604
1992,Butane,Ontario,PADD I,Railway,248455.2,1562733.517,31949844.55,26200582.42,12.859398,39.918538
1992,Butane,Ontario,PADD I,Truck,4849.1,30499.86918,670681.55,551494.553,13.831052,43.051854
1992,Butane,Ontario,PADD II,Pipeline,302270,1901217.846,34466951.15,28729348.45,11.402703,35.978452
1992,Butane,Ontario,PADD II,Railway,839337.6,5279265.636,107520145.2,88427633.01,12.810118,39.88073
1992,Butane,Ontario,PADD II,Truck,28755,180863.199,3717266,3014473.781,12.927372,39.683495
1992,Butane,Ontario,Total,Pipeline,302270,1901217.846,34466951.15,28729348.45,11.402703,35.978452
1992,Butane,Ontario,Total,Railway,1087792.8,6841999.153,139469989.8,114628215.4,12.821374,39.889364
1992,Butane,Ontario,Total,Truck,33604.1,211363.0682,4387947.55,3565968.334,13.057774,40.169552
1992,Butane,Québec,PADD I,Railway,699,4396.5702,62979.9,53258.60654,9.01,28.841935
1992,Butane,Québec,Total,Railway,699,4396.5702,62979.9,53258.60654,9.01,28.841935
1992,Butane,Saskatchewan,PADD I,Railway,1673.5,10525.9803,173211,137594.0652,10.350224,31.123305
